"bpm","danceability_%","valence_%","energy_%","acousticness_%","instrumentalness_%","liveness_%","speechiness_%","id","cluster"
169,67,51,64,28,2,18,9,231,"cluster_1"
115,78,64,69,4,0,7,14,232,"cluster_3"
84,43,14,74,1,0,19,8,233,"cluster_0"
93,67,51,64,28,2,18,9,234,"cluster_0"
91,82,47,62,10,0,10,15,235,"cluster_0"
142,67,51,64,28,2,18,9,236,"cluster_1"
126,67,51,64,28,2,18,9,237,"cluster_0"
97,67,51,64,28,2,18,9,238,"cluster_0"
101,92,59,51,41,51,26,8,239,"cluster_0"
98,80,23,48,14,0,6,5,240,"cluster_0"
154,67,51,64,28,2,18,9,241,"cluster_1"
120,91,63,58,52,0,31,22,242,"cluster_3"
150,49,4,55,7,0,6,3,243,"cluster_1"
174,47,27,78,11,0,10,8,244,"cluster_1"
202,67,51,64,28,2,18,9,245,"cluster_1"
153,56,42,52,5,0,36,24,246,"cluster_1"
142,60,13,37,58,0,13,3,247,"cluster_2"
108,84,55,47,26,0,20,64,248,"cluster_0"
143,83,25,69,4,0,23,12,249,"cluster_1"
108,67,55,67,60,0,80,5,250,"cluster_0"
104,95,78,66,3,0,4,6,251,"cluster_3"
93,67,51,64,28,2,18,9,252,"cluster_0"
105,67,51,64,28,2,18,9,253,"cluster_0"
170,67,51,64,28,2,18,9,254,"cluster_1"
178,67,51,64,28,2,18,9,255,"cluster_1"
176,67,51,64,28,2,18,9,256,"cluster_1"
104,80,38,88,11,0,11,5,257,"cluster_0"
85,70,83,84,31,0,47,30,258,"cluster_3"
117,67,51,64,28,2,18,9,259,"cluster_0"
80,52,57,48,86,0,15,39,260,"cluster_2"
98,44,36,41,50,0,38,5,261,"cluster_2"
178,67,51,64,28,2,18,9,262,"cluster_1"
148,51,27,33,48,0,22,3,263,"cluster_2"
120,77,94,66,65,0,38,3,264,"cluster_3"
122,68,38,88,1,0,8,5,265,"cluster_0"
144,74,75,73,42,0,9,4,266,"cluster_3"
96,93,47,47,33,0,10,36,267,"cluster_0"
137,67,51,64,28,2,18,9,268,"cluster_1"
121,67,51,64,28,2,18,9,269,"cluster_0"
119,60,10,57,1,0,50,3,270,"cluster_0"
96,72,40,47,71,0,13,4,271,"cluster_2"
111,67,51,64,28,2,18,9,272,"cluster_0"
148,90,74,68,14,0,10,19,273,"cluster_3"
182,57,80,59,8,0,6,5,274,"cluster_1"
141,79,82,86,28,0,4,9,275,"cluster_3"
145,76,80,81,19,0,6,9,276,"cluster_3"
110,76,26,70,1,0,41,6,277,"cluster_0"
134,70,35,41,41,0,10,3,278,"cluster_1"
130,92,78,62,18,0,6,10,279,"cluster_3"
145,67,51,64,28,2,18,9,280,"cluster_1"
130,69,36,90,1,10,15,4,281,"cluster_1"
173,59,69,53,12,0,23,3,282,"cluster_1"
92,75,55,76,25,0,10,15,283,"cluster_0"
105,56,57,87,0,1,10,4,284,"cluster_0"
175,59,15,64,43,90,12,10,285,"cluster_1"
120,80,33,70,22,0,9,4,286,"cluster_0"
139,67,51,64,28,2,18,9,287,"cluster_1"
132,59,56,82,12,0,12,6,288,"cluster_3"
114,67,51,64,28,2,18,9,289,"cluster_0"
145,54,19,48,36,0,37,5,290,"cluster_1"
110,82,67,69,0,0,18,4,291,"cluster_3"
94,67,51,64,28,2,18,9,292,"cluster_0"
134,67,51,64,28,2,18,9,293,"cluster_1"
120,62,32,76,0,0,39,4,294,"cluster_0"
123,70,86,68,24,0,11,4,295,"cluster_3"
131,67,51,64,28,2,18,9,296,"cluster_1"
171,70,6,73,1,0,36,26,297,"cluster_1"
130,80,64,76,2,0,20,6,298,"cluster_3"
